epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4543.48,0.33574,1.12255,0.94705,0.81082,0.91027,0.93924,0.89502,0.33337,0.64876,0.93444,0.007492,0.007492,0.007492
78,4603.21,0.33378,1.11285,0.94525,0.88112,0.87074,0.94426,0.89891,0.32856,0.64894,0.92955,0.007459,0.007459,0.007459
79,4662.47,0.33491,1.10437,0.94736,0.89876,0.84357,0.92817,0.87978,0.33449,0.64605,0.93592,0.007426,0.007426,0.007426
80,4722.81,0.33549,1.11649,0.94619,0.92281,0.84786,0.93611,0.89028,0.33232,0.64963,0.93272,0.007393,0.007393,0.007393
81,4783.8,0.33664,1.12282,0.95139,0.87717,0.87184,0.93363,0.8929,0.33598,0.67617,0.93489,0.00736,0.00736,0.00736
82,4844.89,0.33739,1.11032,0.94776,0.84395,0.88232,0.92981,0.88521,0.33317,0.65695,0.9347,0.007327,0.007327,0.007327
83,4903.75,0.33239,1.1012,0.94587,0.85555,0.88889,0.93394,0.89265,0.32832,0.65776,0.93175,0.007294,0.007294,0.007294
84,4962.5,0.33335,1.09679,0.94944,0.90183,0.86017,0.94275,0.89941,0.33319,0.66057,0.94037,0.007261,0.007261,0.007261
85,5021.59,0.33184,1.10782,0.94673,0.8831,0.85997,0.94603,0.90244,0.33884,0.67696,0.94534,0.007228,0.007228,0.007228
86,5080.04,0.33798,1.09944,0.95054,0.90855,0.86375,0.94986,0.90191,0.33525,0.64143,0.94257,0.007195,0.007195,0.007195
87,5140.33,0.33522,1.10391,0.94868,0.86017,0.90031,0.94386,0.89618,0.33361,0.61463,0.93859,0.007162,0.007162,0.007162
88,5199.93,0.33041,1.09351,0.94562,0.84845,0.8949,0.93436,0.89076,0.33105,0.6246,0.93591,0.007129,0.007129,0.007129
89,5258.38,0.3282,1.08335,0.94319,0.86448,0.87241,0.94113,0.89511,0.32853,0.63473,0.9334,0.007096,0.007096,0.007096
90,5317.5,0.32691,1.08312,0.94665,0.88004,0.87526,0.94433,0.89847,0.33082,0.63323,0.93345,0.007063,0.007063,0.007063
91,5375.9,0.33091,1.10991,0.9455,0.84764,0.89094,0.94933,0.90584,0.33202,0.64391,0.9346,0.00703,0.00703,0.00703
92,5435.9,0.32631,1.09295,0.94226,0.8614,0.87709,0.93868,0.8934,0.33552,0.64213,0.93618,0.006997,0.006997,0.006997
93,5496.89,0.32126,1.07742,0.93889,0.88579,0.87826,0.93583,0.89024,0.3366,0.62645,0.94073,0.006964,0.006964,0.006964
94,5556.78,0.32538,1.08592,0.94008,0.86769,0.88611,0.93687,0.8946,0.32872,0.61322,0.93201,0.006931,0.006931,0.006931
95,5616,0.3307,1.08747,0.9432,0.88538,0.87396,0.93998,0.89627,0.32981,0.61037,0.93261,0.006898,0.006898,0.006898
96,5675.3,0.33032,1.09407,0.94374,0.8887,0.87692,0.93804,0.89487,0.33063,0.61086,0.93189,0.006865,0.006865,0.006865
